Conference,Team,Club
Eastern,Atlanta United FC,ATL
Eastern,Chicago Fire FC,CHI
Eastern,FC Cincinnati,
Eastern,Columbus Crew SC,CLB
Eastern,D.C. United,DC
Eastern,Inter Miami CF,
Eastern,Montreal Impact,MTL
Eastern,Nashville SC,
Eastern,New England Revolution,NE
Eastern,New York City FC,NYCFC
Eastern,New York Red Bulls,NYRB
Eastern,Orlando City SC,ORL
Eastern,Philadelphia Union,PHI
Eastern,Toronto FC,TOR
Western,Colorado Rapids,COL
Western,FC Dallas,DAL
Western,Houston Dynamo,HOU
Western,LA Galaxy,LA
Western,Los Angeles FC,LAFC
Western,Minnesota United FC,MNUFC
Western,Portland Timbers,POR
Western,Real Salt Lake,RSL
Western,San Jose Earthquakes,SJ
Western,Seattle Sounders FC,SEA
Western,Sporting Kansas City,KC
Western,Vancouver Whitecaps FC,VAN
Western,Chivas USA,CHV
None,MLS,MLS
